age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income,capital_gain_bin,capital_loss_bin,fnlwgt_scaled,capital_gain_scaled,capital_loss_scaled,native_country_freq
70,Private,94692,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,70,United-States,>50K,0,0,-0.682285977236406,0.0,0.0,0.916298060564818
25,Private,169124,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States,<=50K,0,0,-0.06515254841564805,0.0,0.0,0.916298060564818
37,Local-gov,327120,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,30,United-States,<=50K,0,0,1.24482989488783,0.0,0.0,0.916298060564818
29,Private,164040,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K,0,0,-0.10730520254458095,0.0,0.0,0.916298060564818
20,Private,60639,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,28,United-States,<=50K,0,0,-0.9646275057675925,0.0,0.0,0.916298060564818
37,Self-emp-not-inc,150993,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States,<=50K,0,0,-0.21548098508198998,0.0,0.0,0.916298060564818
46,Self-emp-not-inc,225456,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K,0,0,0.4019094721176029,0.0,0.0,0.916298060564818
37,Private,98776,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,15,United-States,<=50K,0,0,-0.6484245611344072,0.0,0.0,0.916298060564818
17,Private,110798,11th,7,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,<=50K,0,0,-0.5487472975746056,0.0,0.0,0.916298060564818
51,Private,162745,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,50,United-States,>50K,0,0,-0.1180423557894606,8.895492631451633,0.0,0.916298060564818
43,Private,483450,9th,5,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,Mexico,<=50K,0,0,2.540999135638436,0.0,0.0,0.017522966995576726
46,Local-gov,14878,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,Philippines,>50K,0,0,-1.344042849118123,0.0,0.0,0.005954406260632868
30,Private,202051,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,42,United-States,>50K,0,0,0.20785304609721061,0.0,0.0,0.916298060564818
67,Self-emp-inc,106175,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,75,United-States,>50K,0,0,-0.5870776909731219,0.0,7.780303087908373,0.916298060564818
40,Private,53835,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K,0,0,-1.021041089302852,0.0,0.0,0.916298060564818
38,Private,278924,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,44,United-States,<=50K,0,0,0.8452253869417147,0.0,0.0,0.916298060564818
44,Federal-gov,201435,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,>50K,0,0,0.20274564347261922,0.0,0.0,0.916298060564818
22,State-gov,186634,12th,8,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,>50K,0,0,0.0800270294359678,0.0,0.0,0.916298060564818
35,Private,30673,12th,8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,84,United-States,<=50K,0,0,-1.2130827444826993,0.0,0.0,0.916298060564818
28,Private,376302,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,45,United-States,<=50K,0,0,1.652609563528502,0.0,0.0,0.916298060564818
26,Private,202091,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K,0,0,0.20818469561828798,0.0,0.0,0.916298060564818
56,Self-emp-not-inc,84774,Assoc-acdm,12,Married-civ-spouse,Farming-fishing,Wife,White,Female,0,0,40,United-States,<=50K,0,0,-0.7645184759875383,0.0,0.0,0.916298060564818
49,Private,159816,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,99999,0,20,United-States,>50K,0,0,-0.14232739197035052,11.512925464970229,0.0,0.916298060564818
37,Federal-gov,188069,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,Philippines,>50K,0,0,0.09192495600461822,0.0,0.0,0.005954406260632868
66,Private,134130,Bachelors,13,Widowed,Other-service,Not-in-family,White,Male,0,0,12,United-States,<=50K,0,0,-0.3552961319301795,0.0,0.0,0.916298060564818
64,Private,151540,11th,7,Widowed,Tech-support,Unmarried,White,Female,0,0,16,United-States,<=50K,0,0,-0.21094567788125704,0.0,0.0,0.916298060564818
49,Private,246183,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K,0,0,0.5737619627018657,0.0,0.0,0.916298060564818
40,State-gov,177083,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,35,United-States,<=50K,0,0,0.0008374150407203428,0.0,0.0,0.916298060564818
19,Federal-gov,234151,HS-grad,9,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K,0,0,0.47400178676179483,0.0,0.0,0.916298060564818
49,Private,379779,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K,0,0,1.681438198148152,0.0,0.0,0.916298060564818
36,State-gov,223020,Some-college,10,Divorced,Other-service,Unmarried,Black,Female,0,0,20,United-States,<=50K,0,0,0.3817120162839915,0.0,0.0,0.916298060564818
35,Private,166416,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,0,0,-0.08760522099258557,0.0,0.0,0.916298060564818
36,Private,207853,HS-grad,9,Divorced,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K,0,0,0.2559588091294822,0.0,0.0,0.916298060564818
26,Private,34393,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,0,0,-1.1822393390225046,0.0,0.0,0.916298060564818
40,Private,283174,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,<=50K,0,0,0.8804631485561846,0.0,0.0,0.916298060564818
27,Private,194652,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,United-States,<=50K,0,0,0.14650617593592533,0.0,0.0,0.916298060564818
74,Self-emp-not-inc,89667,Bachelors,13,Widowed,Other-service,Not-in-family,Other,Female,0,0,35,United-States,<=50K,0,0,-0.7239494483217498,0.0,0.0,0.916298060564818
26,Private,49092,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,0,0,-1.0603664312646004,0.0,0.0,0.916298060564818
35,Self-emp-not-inc,114366,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,0,0,-0.5191641602945047,0.0,0.0,0.916298060564818
46,Private,143189,5th-6th,3,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,Dominican-Republic,<=50K,0,0,-0.2801858066441836,0.0,0.0,0.002041510717931269
28,Self-emp-not-inc,33035,12th,8,Divorced,Other-service,Unmarried,White,Female,0,0,30,United-States,<=50K,0,0,-1.193498840263081,0.0,0.0,0.916298060564818
36,Private,168826,10th,6,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,0,0,-0.06762333734767441,0.0,0.0,0.916298060564818
52,Private,167651,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,0,0,-0.07736554202932196,0.0,0.0,0.916298060564818
42,Private,177989,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K,0,0,0.008349276693122624,0.0,0.0,0.916298060564818
34,Private,181091,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,40,United-States,>50K,0,0,0.03406869705267216,8.94754601503218,0.0,0.916298060564818
30,Self-emp-not-inc,45427,Assoc-voc,11,Divorced,Craft-repair,Not-in-family,White,Male,0,0,49,United-States,<=50K,0,0,-1.0907538186333139,0.0,0.0,0.916298060564818
42,Private,219288,7th-8th,4,Widowed,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K,0,0,0.35076911596747345,0.0,0.0,0.916298060564818
42,Self-emp-not-inc,207392,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,12,United-States,<=50K,0,0,0.2521365483990656,0.0,0.0,0.916298060564818
22,Federal-gov,153131,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K,0,0,-0.1977543181804049,0.0,0.0,0.916298060564818
22,Private,141040,HS-grad,9,Never-married,Sales,Own-child,Black,Female,0,0,35,United-States,<=50K,0,0,-0.29800367716406495,0.0,0.0,0.916298060564818
31,Private,100734,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,28,United-States,<=50K,0,0,-0.6321903170776703,0.0,0.0,0.916298060564818
32,Self-emp-inc,377017,Assoc-acdm,12,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K,0,0,1.65853779871776,0.0,0.0,0.916298060564818
19,Private,128346,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,<=50K,0,0,-0.40325265267796623,0.0,0.0,0.916298060564818
45,Private,306889,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,>50K,0,0,1.0770898583649264,0.0,0.0,0.916298060564818
23,Private,320294,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K,0,0,1.1882339041159777,0.0,0.0,0.916298060564818
23,Private,292023,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States,<=50K,0,0,0.9538323138565242,0.0,0.0,0.916298060564818
26,Private,158734,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,30,United-States,<=50K,0,0,-0.15129851151549323,0.0,0.0,0.916298060564818
48,Private,247685,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,3325,0,40,United-States,<=50K,0,0,0.5862154022183207,8.109525659752872,0.0,0.916298060564818
42,Local-gov,100793,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K,0,0,-0.6317011340340811,0.0,0.0,0.916298060564818
39,State-gov,172700,HS-grad,9,Never-married,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K,0,0,-0.03550308123133176,0.0,0.0,0.916298060564818
51,Private,224763,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,Cuba,<=50K,0,0,0.3961636441649376,0.0,0.0,0.004083021435862538
29,Private,197932,Some-college,10,Separated,Priv-house-serv,Not-in-family,White,Female,0,0,30,Guatemala,<=50K,0,0,0.17370143666426913,0.0,0.0,0.001701258931609391
55,Private,227856,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,60,United-States,>50K,0,0,0.4218084433822447,8.895492631451633,0.0,0.916298060564818
31,Private,511289,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,2907,0,99,United-States,<=50K,0,0,2.7718189110702536,7.97522083865341,0.0,0.916298060564818
22,State-gov,232742,Some-college,10,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K,0,0,0.4623194323818447,0.0,0.0,0.916298060564818
49,Private,169042,HS-grad,9,Separated,Prof-specialty,Unmarried,White,Female,0,625,40,Puerto-Rico,<=50K,0,0,-0.06583242993385664,0.0,6.439350371100098,0.003232391970057843
44,Private,192878,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K,0,0,0.13179751967614425,0.0,0.0,0.916298060564818
31,Private,44464,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,1564,60,United-States,>50K,0,0,-1.0987382808532513,0.0,7.355641102974253,0.916298060564818
38,Private,175232,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,45,United-States,<=50K,0,0,-0.014509666547134651,0.0,0.0,0.916298060564818
35,Private,241306,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,United-States,<=50K,0,0,0.5333255948445081,0.0,0.0,0.916298060564818
37,Self-emp-inc,126675,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States,<=50K,0,0,-0.4171073114209731,0.0,0.0,0.916298060564818
19,Private,93604,7th-8th,4,Never-married,Craft-repair,Own-child,White,Male,0,1602,32,United-States,<=50K,0,0,-0.6913068442097103,0.0,7.3796321526095525,0.916298060564818
62,Private,178249,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,35,United-States,>50K,0,0,0.010504998580125487,0.0,0.0,0.916298060564818
26,Private,189238,9th,5,Never-married,Other-service,Own-child,White,Female,0,0,38,El-Salvador,<=50K,0,0,0.10161741325810417,0.0,0.0,0.0027220142905750254
39,Private,179731,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,65,United-States,>50K,0,0,0.022792613336041805,0.0,7.789868559054706,0.916298060564818
90,Private,52386,Some-college,10,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Male,0,0,35,United-States,<=50K,0,0,-1.0330550932038796,0.0,0.0,0.916298060564818
23,State-gov,136075,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,32,United-States,<=50K,0,0,-0.3391696739677927,0.0,0.0,0.916298060564818
34,Private,226443,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K,0,0,0.4100929240501869,0.0,0.0,0.916298060564818
65,Private,205309,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,24,United-States,<=50K,0,0,0.23486589958896187,0.0,0.0,0.916298060564818
63,Private,187635,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K,0,0,0.08832655870092883,0.0,0.0,0.916298060564818
40,Private,146659,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,>50K,0,0,-0.2514152106907223,0.0,0.0,0.916298060564818
38,Private,40955,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,England,>50K,0,0,-1.127832235089763,0.0,0.0,0.003062266076896904
64,Private,183513,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,25,United-States,<=50K,0,0,0.054150075553906524,0.0,0.0,0.916298060564818
22,Private,210781,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K,0,0,0.2802355540723452,0.0,0.0,0.916298060564818
25,Private,38090,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,44,United-States,<=50K,0,0,-1.1515866320369292,0.0,0.0,0.916298060564818
38,Federal-gov,205852,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,45,United-States,>50K,0,0,0.2393680418375871,0.0,0.0,0.916298060564818
29,Private,203797,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,40,United-States,<=50K,0,0,0.22232954769223753,0.0,0.0,0.916298060564818
63,Self-emp-not-inc,28612,HS-grad,9,Widowed,Sales,Not-in-family,White,Male,0,0,70,United-States,<=50K,0,0,-1.2301709860562104,0.0,0.0,0.916298060564818
20,Private,190273,12th,8,Never-married,Other-service,Own-child,White,Male,0,0,35,United-States,<=50K,0,0,0.11019884461598095,0.0,0.0,0.916298060564818
44,Private,43711,Bachelors,13,Never-married,Other-service,Not-in-family,White,Male,0,0,48,United-States,<=50K,0,0,-1.1049815830875327,0.0,0.0,0.916298060564818
34,State-gov,221966,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States,<=50K,0,0,0.372973051403603,0.0,0.0,0.916298060564818
17,Local-gov,182070,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,16,United-States,<=50K,0,0,0.04218581908104063,0.0,0.0,0.916298060564818
39,Private,98941,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,>50K,0,0,-0.6470565068599631,0.0,0.0,0.916298060564818
48,Private,167009,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,48,United-States,<=50K,0,0,-0.08268851684261365,0.0,0.0,0.916298060564818
33,Private,157568,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K,0,0,-0.16096609505489837,0.0,0.0,0.916298060564818
21,Private,197997,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,30,United-States,<=50K,0,0,0.17424036713601984,0.0,0.0,0.916298060564818
21,Private,260847,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,30,United-States,<=50K,0,0,0.6953446771288272,0.0,0.0,0.916298060564818
41,Private,217921,9th,5,Married-civ-spouse,Craft-repair,Wife,Asian-Pac-Islander,Female,0,0,40,Hong,<=50K,0,0,0.33943499358465457,0.0,0.0,0.0005103776794828172
34,Private,35595,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K,0,0,-1.1722732709141297,0.0,0.0,0.916298060564818
23,Private,185106,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,40,United-States,<=50K,0,0,0.06735801773081251,0.0,0.0,0.916298060564818
32,Local-gov,87310,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,41,United-States,<=50K,0,0,-0.7434918963512335,0.0,0.0,0.916298060564818
30,Local-gov,99502,Assoc-voc,11,Divorced,Protective-serv,Unmarried,Amer-Indian-Eskimo,Female,0,0,40,United-States,<=50K,0,0,-0.6424051223268531,0.0,0.0,0.916298060564818
20,Private,258517,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,25,United-States,<=50K,0,0,0.6760260925260707,0.0,0.0,0.916298060564818
39,Private,136081,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2051,40,United-States,<=50K,0,0,-0.3391199265396311,0.0,7.62657020629066,0.916298060564818
31,Private,288566,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,43,United-States,>50K,0,0,0.9251695039974132,0.0,0.0,0.916298060564818
29,Federal-gov,168873,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,0,0,30,United-States,<=50K,0,0,-0.06723364916040851,0.0,0.0,0.916298060564818
38,Self-emp-not-inc,114835,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,0,0,60,United-States,>50K,0,0,-0.5152755696598726,0.0,0.0,0.916298060564818
25,Private,109419,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K,0,0,-0.5601809148137477,0.0,0.0,0.916298060564818
43,Private,96483,HS-grad,9,Divorced,Other-service,Own-child,Asian-Pac-Islander,Female,0,0,40,South,<=50K,0,0,-0.6674363699301671,0.0,0.0,0.00187138482477033
17,Private,270942,HS-grad,9,Never-married,Other-service,Other-relative,White,Male,0,0,35,Mexico,<=50K,0,0,0.7790447250107267,0.0,0.0,0.017522966995576726
51,Self-emp-not-inc,163998,HS-grad,9,Married-spouse-absent,Farming-fishing,Not-in-family,White,Male,0,0,20,United-States,>50K,0,0,-0.10765343454171218,0.0,0.0,0.916298060564818
31,Federal-gov,251167,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,30,Mexico,<=50K,0,0,0.6150854930281052,0.0,0.0,0.017522966995576726
49,State-gov,423222,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,99999,0,80,United-States,>50K,0,0,2.0416344517522496,11.512925464970229,0.0,0.916298060564818
25,Private,104097,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,2829,0,60,United-States,<=50K,0,0,-0.6043068835930909,7.948031990637284,0.0,0.916298060564818
47,Local-gov,242552,Some-college,10,Never-married,Protective-serv,Not-in-family,Black,Male,0,0,40,United-States,<=50K,0,0,0.543656477426068,0.0,0.0,0.916298060564818
43,Private,193672,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K,0,0,0.1383807626695299,0.0,0.0,0.916298060564818
47,Local-gov,204377,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States,<=50K,0,0,0.2271384657478593,0.0,0.0,0.916298060564818
36,Local-gov,285865,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,<=50K,0,0,0.9027748700866641,0.0,0.0,0.916298060564818
52,Self-emp-not-inc,162381,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K,0,0,-0.1210603664312646,0.0,0.0,0.916298060564818
55,Private,254516,9th,5,Never-married,Handlers-cleaners,Other-relative,Black,Male,0,0,37,United-States,<=50K,0,0,0.6428528491803075,0.0,0.0,0.916298060564818
29,Private,145011,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K,0,0,-0.2650791709591097,0.0,0.0,0.916298060564818
31,Local-gov,153005,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,0,0,-0.1987990141717986,0.0,0.0,0.916298060564818
31,Local-gov,236487,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,Germany,<=50K,0,0,0.4933701187927128,0.0,0.0,0.003402517863218782
48,Private,169324,HS-grad,9,Never-married,Other-service,Unmarried,Black,Female,0,0,32,Haiti,<=50K,0,0,-0.06349430081026124,0.0,0.0,0.001531133038448452
36,Private,231948,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,64,United-States,>50K,0,0,0.455736189388459,0.0,0.0,0.916298060564818
20,Private,190772,Assoc-acdm,12,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K,0,0,0.11433617239142106,0.0,0.0,0.916298060564818
45,Private,170846,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,>50K,0,0,-0.050875036533267554,0.0,0.0,0.916298060564818
42,State-gov,39586,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,20,United-States,>50K,0,0,-1.1391829399486357,0.0,0.0,0.916298060564818
61,Private,132972,9th,5,Never-married,Machine-op-inspct,Unmarried,Black,Female,0,0,40,United-States,<=50K,0,0,-0.36489738556536916,0.0,0.0,0.916298060564818
39,Private,38721,HS-grad,9,Divorced,Priv-house-serv,Unmarried,White,Female,0,0,22,United-States,<=50K,0,0,-1.1463548608419338,0.0,0.0,0.916298060564818
59,Private,146013,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,4064,0,40,United-States,<=50K,0,0,-0.2567713504561217,8.310169021981912,0.0,0.916298060564818
72,Federal-gov,113044,HS-grad,9,Widowed,Craft-repair,Not-in-family,White,Male,0,0,30,United-States,<=50K,0,0,-0.5301251769661116,0.0,0.0,0.916298060564818
82,Local-gov,29441,7th-8th,4,Widowed,Craft-repair,Not-in-family,White,Male,0,0,5,United-States,<=50K,0,0,-1.223297549731882,0.0,0.0,0.916298060564818
63,Self-emp-not-inc,106551,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,0,0,-0.5839601854749946,0.0,0.0,0.916298060564818
34,Self-emp-inc,157466,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,United-States,<=50K,0,0,-0.16181180133364564,0.0,0.0,0.916298060564818
21,Private,138768,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,<=50K,0,0,-0.31684136996125917,0.0,0.0,0.916298060564818
35,Self-emp-inc,135289,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,60,United-States,<=50K,0,0,-0.34568658705696287,0.0,0.0,0.916298060564818
32,Federal-gov,454508,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K,0,0,2.3010341246629094,0.0,0.0,0.916298060564818
35,Local-gov,387777,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,52,United-States,<=50K,0,0,1.7477515198875708,0.0,0.0,0.916298060564818
62,Private,138157,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,12,United-States,<=50K,0,0,-0.3219073163957159,0.0,0.0,0.916298060564818
28,Private,132191,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States,>50K,0,0,-0.37137284246440466,0.0,0.0,0.916298060564818
43,Self-emp-not-inc,163108,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,99,United-States,<=50K,0,0,-0.11503263638568352,0.0,0.0,0.916298060564818
37,Private,241998,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,>50K,0,0,0.5390631315591465,0.0,0.0,0.916298060564818
